method,url_template,classification,verification,query_keys,parameter_expression,source,line,column
GET,/gl/voucher?m=getVchById&vchId={PAGE.vchID},read_candidate,not_probed,"m,vchId",,https://vip4-kj.kdzwy.com/js/dist/voucher.js?ver=202609151511,1,991
GET,/gl/voucher?m=getvchNum,read_candidate,not_probed,m,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,262091
GET,/gl/voucher?m=handleBeforePrintExport,read_candidate,not_probed,m,,https://vip4-kj.kdzwy.com/js/dist/voucherList.js?ver=202609151511,1,12053
GET,/initParam/guideParam/list,read_candidate,not_probed,,,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1227399
GET,/jdy-fi-bd/ai/auth,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,305720
GET,/jdy-fi-bd/{dbId}/v1/account/,read_candidate,verified_business_success,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,78361
GET,/jdy-fi-bd/{dbId}/v1/authCode,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,83717
GET,/jdy-fi-rpt/{dbId}/scm/v1/bill/list,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/30.fd554321.chunk.js,1,12239
GET,/jdy-fi-rpt/{dbId}/scm/v1/check-balance/detail,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,23137
GET,/jdy-fi-rpt/{dbId}/scm/v1/check-balance/summary,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,23045
GET,/jdy-fi-rpt/{dbId}/user/v1/acct-attachment/list,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,599063
GET,/jdy-fi-rpt/{dbId}/v1/bank-statement/template,read_candidate,not_probed,,e,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1195125
GET,/jdy-fi-rpt/{dbId}/v1/common/report/formula,read_candidate,not_probed,,c,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/44.f0353c7e.chunk.js,1,30477
GET,/jdy-fi-rpt/{dbId}/v1/common/report/query,read_candidate,not_probed,,n,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/31.9fd53a13.chunk.js,1,27595
GET,/jdy-fi-rpt/{dbId}/v1/common/report/ud/query,read_candidate,not_probed,,n,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/62.0348e0bb.chunk.js,1,4429
GET,/jdy-fi-rpt/{dbId}/v1/common/store/credential,read_candidate,not_probed,,"{storeType:""COS"",module:""PAY_IMPORT"",bucketName:""""}",https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/5.73067b31.chunk.js,1,16562
GET,/jdy-fi-rpt/{dbId}/v1/define-report/query,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/33.656a401f.chunk.js,1,733
GET,/jdy-fi-rpt/{dbId}/v1/index/cusInfo,read_candidate,not_probed,,,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,83791
GET,/jdy-fi-rpt/{dbId}/v1/invoice/printSampleNote,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,544413
GET,/jdy-fi-rpt/{dbId}/v1/invoice/printSampleNoteCos,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,544504
GET,/jdy-fi-rpt/{dbId}/v1/item/export/repeat,read_candidate,not_probed,,t,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/28.ddec54f9.chunk.js,1,22599
GET,/jdy-fi-rpt/{dbId}/v1/item/scm/information/check,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/22.31ba7e7e.chunk.js,1,16184
GET,/jdy-fi-rpt/{dbId}/v1/item/scm/information/list,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/28.ddec54f9.chunk.js,1,2901
